time,ax,ay,az,aT
0.002000,-0.2132,0.4877,-0.4442,0.693
0.002000,-0.2823,0.5000,-0.5409,0.789
0.002000,-0.3175,0.4794,-0.6332,0.855
0.002000,-0.3933,0.4809,-0.6156,0.875
0.003000,-0.4140,0.4662,-0.5983,0.864
0.012000,-0.3722,0.4571,-0.6629,0.887
0.013000,-0.3922,0.4799,-0.7015,0.936
0.018000,-0.4860,0.5535,-0.8290,1.109
0.024000,-0.4874,0.5002,-0.8357,1.089
0.028000,-0.5040,0.5187,-0.5306,0.897
0.034000,-0.5129,0.5119,-0.5971,0.939
0.040000,-0.4481,0.5459,-0.7688,1.044
0.051000,-0.4230,0.5747,-0.7008,1.000
0.052000,-0.4424,0.6267,-0.4555,0.892
0.054000,-0.4966,0.6221,-0.3147,0.856
0.059000,-0.5423,0.5919,-0.3286,0.867
0.064000,-0.6216,0.4623,-0.3726,0.860
0.068000,-0.6914,0.4016,-0.2250,0.831
0.095000,-0.7227,0.3691,-0.1322,0.822
0.096000,-0.7988,0.2766,-0.0753,0.849
0.096000,-0.9271,0.1459,-0.0089,0.939
0.096000,-1.0707,-0.0843,0.0020,1.074
0.096000,-0.9037,-0.0738,0.2799,0.949
0.104000,-0.8593,-0.0033,0.1434,0.871
0.104000,-0.8445,0.0576,-0.0958,0.852
0.116000,-0.8819,0.1303,-0.2295,0.921
0.116000,-0.7951,0.2576,-0.3604,0.910
0.119000,-0.7782,0.3749,-0.4383,0.969
0.122000,-0.7759,0.4205,-0.5043,1.016
0.138000,-0.8049,0.4354,-0.5250,1.055
0.139000,-0.9055,0.4125,-0.6272,1.176
0.139000,-0.9030,0.3783,-0.7679,1.244
0.149000,-0.8906,0.3549,-0.8277,1.267
0.150000,-0.9498,0.2681,-0.7733,1.254
0.152000,-0.9488,0.2303,-0.7411,1.226
0.168000,-0.9761,0.1552,-0.7716,1.254
0.169000,-0.9871,0.1287,-0.6923,1.212
0.169000,-0.9771,0.0782,-0.6632,1.184
0.172000,-0.9421,0.0442,-0.6483,1.144
0.177000,-0.8295,0.0811,-0.6496,1.057
0.182000,-0.8260,0.1673,-0.6503,1.065
0.187000,-0.9457,0.1640,-0.6289,1.148
0.222000,-1.0254,0.1079,-0.4830,1.139
0.223000,-0.9951,0.1455,-0.2107,1.028
0.223000,-0.8946,0.2022,-0.0967,0.922
0.224000,-0.8776,0.2039,-0.1071,0.907
0.224000,-0.7788,0.2199,-0.0411,0.810
0.224000,-0.6701,0.3053,-0.0421,0.738
0.224000,-0.6117,0.3403,0.0120,0.700
0.238000,-0.6083,0.3632,0.1043,0.716
