time,ax,ay,az,aT
0.004000,-0.0928,0.1722,-0.3446,0.396
0.005000,-0.1646,0.1575,-0.4952,0.545
0.005000,-0.2429,0.1798,-0.6342,0.703
0.011000,-0.3160,0.2103,-0.7472,0.838
0.012000,-0.1718,0.2396,-0.8225,0.874
0.015000,-0.2498,0.2439,-0.8052,0.878
0.021000,-0.3897,0.2349,-0.7600,0.886
0.027000,-0.4053,0.2653,-0.7179,0.866
0.030000,-0.0850,0.2939,-0.5044,0.590
0.035000,-0.1222,0.2198,-0.1099,0.275
0.043000,-0.6132,0.0454,0.1953,0.645
0.047000,-0.4582,0.1285,0.1588,0.502
0.050000,-0.1516,0.2559,0.0012,0.297
0.055000,-0.0561,0.2820,-0.0314,0.289
0.060000,0.0110,0.2432,-0.0063,0.244
0.065000,-0.0504,0.1729,0.0071,0.180
0.071000,-0.5880,-0.0555,0.4626,0.750
0.086000,-0.8508,0.0690,0.7647,1.146
0.087000,-0.7565,0.2917,0.8043,1.142
0.087000,-0.7752,0.3567,1.1579,1.438
0.095000,-0.8415,0.4334,1.2325,1.554
0.096000,-0.7833,0.3855,1.2249,1.504
0.100000,-0.7538,0.3375,1.2283,1.480
0.105000,-0.6883,0.3443,1.1425,1.378
0.117000,-0.6059,0.3223,1.0585,1.261
0.119000,-0.5136,0.3816,0.9425,1.139
0.119000,-0.3521,0.4888,0.6204,0.865
0.126000,-0.1862,0.5125,0.2859,0.616
0.129000,-0.1160,0.4871,0.0127,0.501
0.134000,-0.0864,0.5231,-0.2831,0.601
0.144000,-0.0995,0.5134,-0.5924,0.790
0.146000,-0.1717,0.5235,-0.8320,0.998
0.150000,-0.3009,0.5607,-1.0093,1.193
0.157000,-0.3841,0.6015,-1.0724,1.288
0.161000,-0.4743,0.6314,-0.9902,1.267
0.164000,-0.5999,0.6410,-0.9401,1.286
0.169000,-0.6297,0.6063,-0.8836,1.243
0.183000,-0.6548,0.6182,-0.9234,1.290
0.184000,-0.7256,0.5956,-0.9639,1.346
0.184000,-0.7398,0.5914,-0.9098,1.313
0.190000,-0.8219,0.5746,-0.8281,1.301
0.201000,-0.8955,0.5428,-0.5804,1.197
0.202000,-0.8942,0.5434,-0.5802,1.196
0.203000,-0.8755,0.5140,-0.3536,1.075
0.224000,-0.8154,0.4780,-0.1637,0.959
0.225000,-0.7499,0.5015,0.0355,0.903
0.225000,-0.6832,0.4647,0.1509,0.840
0.225000,-0.6104,0.4105,0.2355,0.772
0.232000,-0.5427,0.4365,0.2299,0.733
0.233000,-0.4872,0.4206,0.1796,0.668
0.238000,-0.3813,0.4468,0.0942,0.595
0.249000,-0.2347,0.4911,-0.1099,0.555
0.249000,-0.1385,0.4750,-0.2748,0.566
0.254000,-0.0590,0.4586,-0.3365,0.572
0.269000,0.0345,0.4656,-0.3189,0.565
0.270000,0.0893,0.4531,-0.4038,0.613
0.270000,0.1673,0.4569,-0.4834,0.686
0.287000,0.1703,0.4555,-0.6270,0.793
0.288000,0.2393,0.4492,-0.7486,0.905
0.289000,0.2330,0.4691,-0.9248,1.063
0.289000,0.1082,0.4272,-1.2369,1.313
0.320000,0.0560,0.3767,-1.4937,1.541
0.323000,0.0715,0.4085,-1.7314,1.780
0.324000,0.2382,0.5495,-1.8954,1.988
0.325000,0.3746,0.6728,-2.1222,2.258
0.325000,0.4472,0.7792,-2.2925,2.462
0.326000,0.4636,0.7928,-2.4164,2.585
0.326000,0.5460,0.7643,-2.3485,2.529
0.329000,0.7479,0.7871,-2.1180,2.380
0.333000,0.9427,0.8272,-1.7991,2.193
0.337000,1.1357,0.8939,-1.4158,2.023
0.342000,1.2484,0.8693,-1.0512,1.849
0.348000,1.3094,0.8799,-0.6121,1.692
