arithmetic_average,standard_deviation,mean_squares,class
5.277852231021828,2.35721726551756,5.780235644809194,bajando_escaleras
6.9973224514936865,3.0606293776150917,7.637217341498224,bajando_escaleras
5.7714738729508195,3.6703029408403065,6.839498077117373,bajando_escaleras
5.93224210776169,2.7303155347052335,6.530264153214046,bajando_escaleras
2.9493182139075187,1.6015796534288258,3.3560516388634327,bajando_escaleras
7.333176663927691,3.5538211339057293,8.148721703880033,bajando_escaleras
1.0688937308868502,0.3556658203100275,1.1265046122574485,bajando_escaleras
8.432256653359946,3.532810793025184,9.142298857182762,bajando_pendiente
8.698434345281639,3.7489406891456225,9.47178684417028,bajando_pendiente
6.831415575369183,3.5061663291040137,7.678523846971821,bajando_pendiente
7.709786188340807,3.375026692106611,8.416030242852607,bajando_pendiente
2.3675760125499146,1.2593555568442372,2.681635026142467,bajando_pendiente
9.337284218399402,3.5663431322325323,9.995063865554565,bajando_pendiente
1.2396237202346716,0.3824468772516888,1.2972724293727143,bajando_pendiente
5.479008895233911,2.4218360679129347,5.990340916945381,caminando
3.719584085660298,1.901609020981151,4.177444557862162,caminando
4.466401879352294,2.3915263078146944,5.06632647717455,caminando
5.354042147157873,2.726009010942492,6.008005832705638,caminando
1.272362771873252,1.270449245064762,1.7980253608745822,caminando
4.097413401534527,2.396535964568542,4.746745585558097,caminando
4.758273701298701,2.628187113849506,5.435804950412468,caminando
6.5471960151802655,2.4534117305245533,6.991699551035815,subiendo_escaleras
5.2914378814727305,2.693919242703002,5.937599420267933,subiendo_escaleras
4.144180424143556,2.274574627216578,4.7272695213589575,subiendo_escaleras
5.340754697918771,2.5532321813711625,5.919572457586975,subiendo_escaleras
2.8034542720679285,1.4556479015944657,3.1587801188994176,subiendo_escaleras
10.326598076923077,6.293022532356098,12.09255476432904,subiendo_escaleras
1.0368557800224467,0.26620715933760347,1.0704794338491739,subiendo_escaleras
6.660500935453695,2.752952573634282,7.206929928148489,subiendo_pendiente
7.012547445255475,3.5031938981194792,7.838750174498602,subiendo_pendiente
4.186123516589974,2.1154427387921713,4.690222400550569,subiendo_pendiente
5.796437393671317,2.8450585449074937,6.456908511261171,subiendo_pendiente
3.149117451260105,1.2783105123585736,3.398640828393722,subiendo_pendiente
5.83050060189166,2.9318375962360386,6.5260195195774235,subiendo_pendiente
1.0877033964802152,0.28956998758772773,1.1255843181070369,subiendo_pendiente
46.62508871553606,66.49711972370136,80.02193914983266,bajando_escaleras
22.76637753716865,18.62201188571747,29.130293022326676,bajando_escaleras
23.576797312830173,43.79462432541562,48.892172477851105,bajando_escaleras
7.997401253574957,7.431096096929239,10.832308604621302,bajando_escaleras
18.781196802361475,16.83727712335101,25.041611164449282,bajando_escaleras
15.010193171049277,15.228971990158309,21.222777003408083,bajando_escaleras
19.661413019021,19.022023715133802,27.040306884333276,bajando_escaleras
11.772029156611547,13.897127069120897,18.089207075400623,bajando_pendiente
18.021159794048437,24.745910573210075,30.288095666886626,bajando_pendiente
16.741015699539265,32.64362550243886,36.33011829567258,bajando_pendiente
7.052445104483025,12.912249601977296,14.566679142077424,bajando_pendiente
24.421720960278392,31.941277234319482,39.881142322024466,bajando_pendiente
18.086200207238214,12.004472049744056,21.626446165157063,bajando_pendiente
17.019357439867704,16.732836753091142,23.670940537813973,bajando_pendiente
6.791087025715566,11.209374990298953,13.005815641632198,caminando
10.038959048696915,10.927144910932975,14.723168640036544,caminando
5.995834696698,14.75472202679768,15.819300389968898,caminando
6.531200166880704,11.67201620514833,13.278631256967646,caminando
5.89415448839204,14.620761016621234,15.640365834128124,caminando
5.329720273840895,10.12769149460108,11.383759058486246,caminando
6.022652309880535,9.81286360417994,11.442576642183774,caminando
16.914614602406456,23.42055290807262,28.522438082783854,subiendo_escaleras
12.638617567851558,20.143168914012747,23.47319608769414,subiendo_escaleras
14.05956536838738,17.972859081889617,22.603239724858827,subiendo_escaleras
4.637250810194432,6.509059941174612,7.906026257903071,subiendo_escaleras
8.91856996348073,12.01197627949277,14.818391010903849,subiendo_escaleras
18.57030241267699,21.739299937044255,28.331689539211656,subiendo_escaleras
20.924696370533265,22.026129413203364,29.99818154863551,subiendo_escaleras
14.091267566451556,24.549046894019263,28.008553851071973,subiendo_pendiente
16.349626822298372,21.923895827401182,27.072993327693222,subiendo_pendiente
15.178935469419594,18.810631572306445,23.96101483334718,subiendo_pendiente
9.962387864170513,16.5989924905373,19.216274160800975,subiendo_pendiente
10.164170683172284,14.295639164673725,17.3867084468473,subiendo_pendiente
12.136280168480681,17.155521028323836,20.842813126206504,subiendo_pendiente
17.684740063440202,21.542719400778093,27.618390513557454,subiendo_pendiente
1.0943055120848548,0.31052235828352115,1.1375024933046909,bajando_escaleras
1.0943055120848548,0.31052235828352115,1.1375024933046909,bajando_escaleras
1.2130289855072465,0.5941438843355682,1.3506720898829234,bajando_escaleras
1.1588628171478565,0.3748463487454174,1.2179688945110614,bajando_escaleras
1.1531333333333333,0.42140826278453153,1.2276995096444845,bajando_escaleras
1.0958469733656173,0.373852992371115,1.1578337383309545,bajando_escaleras
1.1588628171478565,0.3748463487454174,1.2179688945110614,bajando_escaleras
1.1948023019634395,0.5295545980370031,1.3068791632197494,bajando_pendiente
1.1948023019634395,0.5295545980370031,1.3068791632197494,bajando_pendiente
1.343950107791808,0.7957835193754839,1.5618188976867797,bajando_pendiente
1.368768758631272,0.7764792293641971,1.573643985556809,bajando_pendiente
1.2000388841927303,0.5237291292787947,1.3093159424867349,bajando_pendiente
1.1981159465340379,0.5813582071086801,1.331673430881381,bajando_pendiente
