arithmetic_average,standard_deviation,mean_squares,class
1.0943055120848548,0.31052235828352115,1.1375024933046909,bajando_escaleras
1.0943055120848548,0.31052235828352115,1.1375024933046909,bajando_escaleras
1.2130289855072465,0.5941438843355682,1.3506720898829234,bajando_escaleras
1.1588628171478565,0.3748463487454174,1.2179688945110614,bajando_escaleras
1.1531333333333333,0.42140826278453153,1.2276995096444845,bajando_escaleras
1.0958469733656173,0.373852992371115,1.1578337383309545,bajando_escaleras
1.1588628171478565,0.3748463487454174,1.2179688945110614,bajando_escaleras
1.1948023019634395,0.5295545980370031,1.3068791632197494,bajando_pendiente
1.1948023019634395,0.5295545980370031,1.3068791632197494,bajando_pendiente
1.343950107791808,0.7957835193754839,1.5618188976867797,bajando_pendiente
1.368768758631272,0.7764792293641971,1.573643985556809,bajando_pendiente
1.2000388841927303,0.5237291292787947,1.3093159424867349,bajando_pendiente
1.1981159465340379,0.5813582071086801,1.331673430881381,bajando_pendiente
1.368768758631272,0.7764792293641971,1.573643985556809,bajando_pendiente
1.1105760969622585,0.44501467128377203,1.1964058431596214,caminando
1.1908932931928415,0.4640088055372461,1.2780825471478643,caminando
1.1908932931928415,0.4640088055372461,1.2780825471478643,caminando
1.1105760969622585,0.44501467128377203,1.1964058431596214,caminando
1.117474799468108,0.3058541189574671,1.158573544012904,caminando
1.1111943841141794,0.3271010058489845,1.1583313121201169,caminando
1.148333012666346,0.3440644088019221,1.1987618800469562,caminando
1.0829602845287492,0.38833169553751545,1.1504703977244721,subiendo_escaleras
1.0829602845287492,0.38833169553751545,1.1504703977244721,subiendo_escaleras
1.139059829059829,0.624362530595004,1.2988131721769387,subiendo_escaleras
1.1736974607417308,0.49039210320666105,1.2720102081991222,subiendo_escaleras
1.0891337730870712,0.39944767725756947,1.1600554825918004,subiendo_escaleras
1.0906460624071321,0.4233297877933386,1.1698990068297683,subiendo_escaleras
0.9250374975330571,0.6470886353621853,1.1288890680918848,subiendo_escaleras
1.1501336581970065,0.35633431966198115,1.204062642555631,subiendo_pendiente
1.1501336581970065,0.35633431966198115,1.204062642555631,subiendo_pendiente
1.1605795297372061,0.36757949994860506,1.2173877099740908,subiendo_pendiente
1.2361566132387127,0.4851228149265838,1.3279301648417683,subiendo_pendiente
1.1884187153053132,0.4430575484174329,1.2683008886165605,subiendo_pendiente
1.1480768479322696,0.3626399628097731,1.2039706678051614,subiendo_pendiente
1.2361566132387127,0.4851228149265838,1.3279301648417683,subiendo_pendiente
