arithmetic_average,standard_deviation,mean_squares,class
5.277852231021828,2.35721726551756,5.780235644809194,bajando_escaleras
6.9973224514936865,3.0606293776150917,7.637217341498224,bajando_escaleras
5.7714738729508195,3.6703029408403065,6.839498077117373,bajando_escaleras
5.93224210776169,2.7303155347052335,6.530264153214046,bajando_escaleras
2.9493182139075187,1.6015796534288258,3.3560516388634327,bajando_escaleras
7.333176663927691,3.5538211339057293,8.148721703880033,bajando_escaleras
1.0688937308868502,0.3556658203100275,1.1265046122574485,bajando_escaleras
8.432256653359946,3.532810793025184,9.142298857182762,bajando_pendiente
8.698434345281639,3.7489406891456225,9.47178684417028,bajando_pendiente
6.831415575369183,3.5061663291040137,7.678523846971821,bajando_pendiente
7.709786188340807,3.375026692106611,8.416030242852607,bajando_pendiente
2.3675760125499146,1.2593555568442372,2.681635026142467,bajando_pendiente
9.337284218399402,3.5663431322325323,9.995063865554565,bajando_pendiente
1.2396237202346716,0.3824468772516888,1.2972724293727143,bajando_pendiente
5.479008895233911,2.4218360679129347,5.990340916945381,caminando
3.719584085660298,1.901609020981151,4.177444557862162,caminando
4.466401879352294,2.3915263078146944,5.06632647717455,caminando
5.354042147157873,2.726009010942492,6.008005832705638,caminando
1.272362771873252,1.270449245064762,1.7980253608745822,caminando
4.097413401534527,2.396535964568542,4.746745585558097,caminando
4.758273701298701,2.628187113849506,5.435804950412468,caminando
6.5471960151802655,2.4534117305245533,6.991699551035815,subiendo_escaleras
5.2914378814727305,2.693919242703002,5.937599420267933,subiendo_escaleras
4.144180424143556,2.274574627216578,4.7272695213589575,subiendo_escaleras
5.340754697918771,2.5532321813711625,5.919572457586975,subiendo_escaleras
2.8034542720679285,1.4556479015944657,3.1587801188994176,subiendo_escaleras
10.326598076923077,6.293022532356098,12.09255476432904,subiendo_escaleras
1.0368557800224467,0.26620715933760347,1.0704794338491739,subiendo_escaleras
6.660500935453695,2.752952573634282,7.206929928148489,subiendo_pendiente
7.012547445255475,3.5031938981194792,7.838750174498602,subiendo_pendiente
4.186123516589974,2.1154427387921713,4.690222400550569,subiendo_pendiente
5.796437393671317,2.8450585449074937,6.456908511261171,subiendo_pendiente
3.149117451260105,1.2783105123585736,3.398640828393722,subiendo_pendiente
5.83050060189166,2.9318375962360386,6.5260195195774235,subiendo_pendiente
1.0877033964802152,0.28956998758772773,1.1255843181070369,subiendo_pendiente
