ID,rate,accuracy,magnitude,timestamp,average
13, 88, 2, 10.081372525179251, 1559338301706, 2.01627450503585
14, 89, 2, 12.589602960167053, 1559338302703, 2.5179205920334105
15, 90, 3, 14.780448891841667, 1559338303699, 2.9560897783683333
16, 91, 2, 15.24730346698542, 1559338304694, 3.049460693397084
17, 92, 3, 17.619886247331742, 1559338305692, 3.5239772494663484
18, 92, 2, 12.840360602809096, 1559338306686, 2.568072120561819
